symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
MAXIND,EQ,2024-10-04,254.35,254.0,255.4,245.0,248.5,245.95,249.96,29025,72.55,1200, 17299,59.6,338.0,2024-07-10,129.3,2023-10-23
MAYURUNIQ,EQ,2024-10-04,590.25,592.0,603.0,585.9,587.4,587.55,592.08,82323,487.42,3360, 50436,61.27,700.0,2024-08-02,455.0,2024-03-28
MAZDA,EQ,2024-10-04,1265.3,1265.45,1356.0,1254.1,1278.0,1279.05,1325.82,34840,461.91,3142, 7571,21.73,1660.95,2024-01-24,1059.55,2023-10-09
MAZDOCK,EQ,2024-10-04,4076.9,4076.9,4147.0,3975.05,4078.8,4075.35,4070.53,1307601,53226.34,113366, 162993,12.47,5860.0,2024-07-05,1742.0,2023-10-26
MBAPL,EQ,2024-10-04,210.26,211.4,211.4,205.22,210.0,208.9,208.43,9319,19.42,433, 5636,60.48,348.35,2023-10-20,207.35,2024-10-03
MCL,EQ,2024-10-04,36.51,36.86,37.01,34.72,35.95,36.12,36.02,124734,44.93,2343, 36282,29.09,50.9,2024-01-09,26.25,2023-11-01
MCLEODRUSS,EQ,2024-10-04,36.17,36.4,37.4,34.36,35.24,35.49,35.34,3853122,1361.63,7414, 2226367,57.78,37.85,2024-02-21,17.35,2023-10-26
MCX,EQ,2024-10-04,5784.7,5795.0,5949.85,5692.9,5801.0,5805.15,5849.9,482350,28216.98,55087, 132721,27.52,6035.45,2024-09-25,1913.15,2023-10-05
MEDANTA,EQ,2024-10-04,973.45,969.0,991.35,959.3,968.9,967.1,977.33,545427,5330.62,31530, 360952,66.18,1513.9,2024-02-16,708.0,2023-10-26
MEDIASSIST,EQ,2024-10-04,645.65,645.0,649.6,627.75,639.0,637.6,639.46,226851,1450.62,19694, 100451,44.28,716.15,2024-09-16,430.55,2024-01-25
MEDICAMEQ,EQ,2024-10-04,579.15,578.8,591.35,556.0,579.0,572.65,577.13,64362,371.45,1852, 34499,53.6,729.6,2023-10-30,355.45,2024-03-13
MEDPLUS,EQ,2024-10-04,646.45,645.05,658.0,638.4,655.1,654.7,648.92,378593,2456.78,18004, 235720,62.26,849.0,2023-11-21,598.6,2024-02-14
